На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
12.78,301.638,19817.59,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,90мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.04
3.31,2743.968,362478.19,132100,132000,131900,ЛОБНЯ,Круг Ст20,340мм,3ГП,ТУ14-1-2118-98 ГОСТ1050,Круг,3.85
8.13,2793.423,369011.23,132100,132000,131900,ЛОБНЯ,Круг Ст45,330мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.16
1.93,34.182,4334.28,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.60,34.182,4204.39,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
3.47,32.853,4165.72,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,32мм,НД,ГОСТ 7417-75,4543-2016,Круг
7.61,38.365,2597.30,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,32мм.,,"ГОСТ 2590,4543-2016",Круг,06.08
1.96,38.112,4489.64,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.00,38.175,4619.24,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.96,34.705,4088.25,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,32мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.82,30.919,3623.71,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,32мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.9
4.70,30.919,3592.79,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,32мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.9
4.67,30.540,2846.37,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,32мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.84
6.68,30.564,2848.57,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,32мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.87
13.22,38.175,2469.95,60200,60100,60000,ЛОБНЯ,Круг Ст45,32мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
1.50,1071.245,96626.32,90200,90100,90000,ЛОБНЯ,Круг Ст3,250мм,,ГОСТ 2590-2006,Круг,2.78
6.25,1699.349,153281.32,90200,90100,90000,ЛОБНЯ,Круг Ст3,250мм,(3ГП),ГОСТ 2590-2006,Круг,4.41
1.88,1414.002,168110.67,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,250мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,3.72
19.57,1888.166,164648.08,87200,87100,87000,ЛОБНЯ,Круг Ст20,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.9
9.83,1699.349,156680.01,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,250мм,,"ГОСТ4543-2016,2590-2006",Круг,4.41
11.29,1707.056,157390.58,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,250мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,4.43
1.76,1703.203,202493.78,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,250мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,4.42
0.17,169.550,15123.82,87200,87100,87000,ЛОБНЯ,Круг Ст35,250мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,0.44
12.17,1807.245,157591.73,87200,87100,87000,ЛОБНЯ,Круг Ст35,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.69
9.39,1128.050,146522.41,129890,129890,129890,ЧЕЛЯБИНСК,Круг Ст38хс,250мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.93
11.69,935.620,121995.49,129890,129890,129890,ЧЕЛЯБИНСК,Круг Ст38хс,230мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.87
9.13,1888.408,164669.22,87200,87100,87000,ЛОБНЯ,Круг Ст35,230мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,5.79
0.12,123.557,11083.06,87200,87100,87000,ЛОБНЯ,Круг Ст35,230мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,0.38
8.15,1309.315,168639.75,128800,128800,128800,ЧЕЛЯБИНСК,Круг Ст30ХМА,230мм,,"ГОСТ 2590-2006,4543-2016, 3ГП",Круг,04.03
12.25,1715.549,203961.62,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,230мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,5.26
4.79,1399.183,166348.93,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,230мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,4.29
25.08,1663.365,153362.25,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,230мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,5.1
0.72,724.750,67329.27,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,230мм,,"ГОСТ4543-2016,2590-2006",Круг,2.23
6.87,1710.910,199988.22,116890,116890,116890,ЧЕЛЯБИНСК,Круг ст18ХГТ,250мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,4.44
6.19,1703.203,199087.38,116890,116890,116890,ЧЕЛЯБИНСК,Круг ст18ХГТ,250мм,,ГОСТ 2590-2006 4543-2016 3ГП,Круг,4.42
0.17,169.550,15123.82,87200,87100,87000,ЛОБНЯ,Круг Ст20,250мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,0.44
20.95,23.369,1547.06,59200,59100,59000,ЛОБНЯ,Круг Ст3,25мм,(6+нд),ГОСТ 2590,Круг,06.07
1.45,15.515,1843.24,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.48,15.477,1872.72,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
